DATUM,TOTALE_OMZET,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_wintervakantie,is_springvakantie,is_summervakantie,is_thanksgivingvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag
2017-01-01,35422.29,6,1,52,2017,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,0,0,1,0,0,0,1,0,0
2017-01-02,81863.89,0,1,1,2017,1,2,0.0,1.0,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,1,0,1,0,0,0,1,1,0
2017-01-03,26955.36,1,1,1,2017,1,3,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,1,0,0,0,1,0,1
2017-01-04,1684.22,2,1,1,2017,1,4,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2017-01-05,94364.95,3,1,1,2017,1,5,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2017-01-06,34944.6,4,1,1,2017,1,6,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,1,0,0,0,0,0,0,0
2017-01-07,102989.02,5,1,1,2017,1,7,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,0,0,0
2017-01-08,93271.73,6,1,1,2017,1,8,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,0,0,0
2017-01-09,111937.64,0,1,2,2017,1,9,0.0,1.0,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,1,0,0,0,0,0,0,0,0
2017-01-10,29531.72,1,1,2,2017,1,10,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2017-01-11,2648.86,2,1,2,2017,1,11,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2017-01-12,73421.95000000001,3,1,2,2017,1,12,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
